season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
12_13,3,,0,northampton,18,14,bath,4,2.666666667,2,2,4,1,0
12_13,3,,0,sale,14,37,harlequins,-22,19.5,0,2,-23,0,0
12_13,3,,0,leicester,9,9,saracens,16.5,22,2,2,0,0,1
12_13,3,,0,irish,14,43,wasps,-23,-4.5,0,0,-29,0,0
12_13,3,,0,exeter,24,25,welsh,17,-31,1,0,-1,0,0
12_13,3,,0,gloucester,16,16,worcester,2,-4.5,1,0,0,0,1
12_13,3,,1,welsh,25,24,exeter,-31,17,0,1,1,1,0
12_13,3,,1,worcester,16,16,gloucester,-4.5,2,0,1,0,0,1
12_13,3,,1,wasps,43,14,irish,-4.5,-23,0,0,29,1,0
12_13,3,,1,saracens,9,9,leicester,22,16.5,2,2,0,0,1
12_13,3,,1,bath,14,18,northampton,2.666666667,4,2,2,-4,0,0
12_13,3,,1,harlequins,37,14,sale,19.5,-22,2,0,23,1,0
12_13,4,,0,saracens,12,14,exeter,14.66666667,11,2,1,-2,0,0
12_13,4,,0,wasps,22,29,gloucester,6.666666667,1.333333333,1,1,-7,0,0
12_13,4,,0,bath,22,29,irish,1,-25,2,0,-7,0,0
12_13,4,,0,harlequins,22,9,leicester,20.66666667,11,3,2,13,1,0
12_13,4,,0,worcester,31,37,northampton,-3,4,0,3,-6,0,0
12_13,4,,0,welsh,29,19,sale,-20.33333333,-22.33333333,1,0,10,1,0
12_13,4,,1,irish,29,22,bath,-25,1,0,2,7,1,0
12_13,4,,1,leicester,9,22,harlequins,11,20.66666667,2,3,-13,0,0
12_13,4,,1,exeter,14,12,saracens,11,14.66666667,1,2,2,1,0
12_13,4,,1,gloucester,29,22,wasps,1.333333333,6.666666667,1,1,7,1,0
12_13,4,,1,sale,19,29,welsh,-22.33333333,-20.33333333,0,1,-10,0,0
12_13,4,,1,northampton,37,31,worcester,4,-3,3,0,6,1,0
12_13,5,,0,sale,10,31,bath,-19.25,-0.6,0,2,-21,0,0
12_13,5,,0,saracens,18,16,harlequins,10.5,18.75,2,4,2,1,0
12_13,5,,0,exeter,8,30,leicester,8.75,5,2,2,-22,0,0
12_13,5,,0,wasps,6,24,northampton,3.25,4.5,1,4,-18,0,0
12_13,5,,0,gloucester,31,25,welsh,2.75,-12.75,2,2,6,1,0
12_13,5,,0,irish,11,35,worcester,-17,-3.75,1,0,-24,0,0
12_13,5,,1,leicester,30,8,exeter,5,8.75,2,2,22,1,0
12_13,5,,1,welsh,25,31,gloucester,-12.75,2.75,2,2,-6,0,0
12_13,5,,1,worcester,35,11,irish,-3.75,-17,0,1,24,1,0
12_13,5,,1,bath,31,10,sale,-0.6,-19.25,2,0,21,1,0
12_13,5,,1,harlequins,16,18,saracens,18.75,10.5,4,2,-2,0,0
12_13,5,,1,northampton,24,6,wasps,4.5,3.25,4,1,18,1,0
12_13,6,,0,harlequins,28,42,exeter,14.6,2.6,4,2,-14,0,0
